	n		
912	912	0.467046074829674	0.532953925170326
914	914	0.467082649040811	0.532917350959189
916	916	0.467119102426065	0.532880897573935
918	918	0.46715543564775	0.53284456435225
920	920	0.467191649363117	0.532808350636883
922	922	0.467227744224401	0.532772255775599
924	924	0.467263720878868	0.532736279121132
926	926	0.46729957996887	0.53270042003113
928	928	0.467335322131886	0.532664677868114
930	930	0.467370948000574	0.532629051999426
932	932	0.467406458202815	0.532593541797185
934	934	0.467441853361761	0.532558146638239
936	936	0.467477134095879	0.532522865904121
938	938	0.467512301018998	0.532487698981002
940	940	0.467547354740353	0.532452645259647
942	942	0.467582295864627	0.532417704135373
944	944	0.467617124991998	0.532382875008002
946	946	0.46765184271818	0.53234815728182
948	948	0.467686449634465	0.532313550365535
950	950	0.467720946327768	0.532279053672232
952	952	0.467755333380664	0.532244666619336
954	954	0.467789611371434	0.532210388628566
956	956	0.467823780874101	0.532176219125899
958	958	0.467857842458475	0.532142157541525
960	960	0.467891796690188	0.532108203309812
962	962	0.467925644130737	0.532074355869263
964	964	0.467959385337519	0.532040614662481
966	966	0.467993020863874	0.532006979136126
968	968	0.468026551259118	0.531973448740882
970	970	0.468059977068584	0.531940022931416
972	972	0.468093298833658	0.531906701166342
974	974	0.468126517091816	0.531873482908184
976	976	0.468159632376659	0.531840367623341
978	978	0.468192645217949	0.531807354782051
980	980	0.468225556141646	0.531774443858354
982	982	0.468258365669941	0.531741634330059
984	984	0.468291074321292	0.531708925678708
986	986	0.468323682610458	0.531676317389542
988	988	0.468356191048532	0.531643808951468
990	990	0.468388600142976	0.531611399857024
992	992	0.468420910397652	0.531579089602348
994	994	0.468453122312857	0.531546877687143
996	996	0.468485236385353	0.531514763614647
998	998	0.468517253108401	0.531482746891599
1000	1000	0.468549172971792	0.531450827028208
